Horodatage	NomFichier	Erreur	Message
2015-09-07 09:30:01.499 +0200	CHECK-SCANS.fmp12	0	Opérations d'importation démarrées
2015-09-07 09:30:36.857 +0200	CHECK-SCANS.fmp12	0	Opérations d'importation annulées
2015-09-07 09:30:36.857 +0200	CHECK-SCANS.fmp12	0	==================================================================
2015-09-07 09:43:42.071 +0200	CHECK-SCANS.fmp12	0	Opérations d'importation démarrées
2015-09-07 09:44:16.836 +0200	CHECK-SCANS.fmp12	0	Opérations d'importation annulées
2015-09-07 09:44:16.836 +0200	CHECK-SCANS.fmp12	0	==================================================================
2015-09-07 09:47:18.956 +0200	CHECK-SCANS.fmp12	0	Opérations d'importation démarrées
2015-09-07 09:47:18.958 +0200	CHECK-SCANS.fmp12	0	Importation de tables depuis le fichier “ NEG.csv ” démarrée
2015-09-07 09:47:18.965 +0200	NEG	0	rubriques importés : 8
2015-09-07 09:47:18.966 +0200	CHECK-SCANS.fmp12	0	tables importés : 1
2015-09-07 09:47:18.966 +0200	CHECK-SCANS.fmp12	0	Importation terminée
2015-09-07 09:47:18.967 +0200	CHECK-SCANS.fmp12	0	Opérations d'importation validées
2015-09-07 09:47:18.967 +0200	CHECK-SCANS.fmp12	0	==================================================================
2015-09-07 18:05:21.271 +0200	CHECK-SCANS.fmp12	0	Opérations d'importation démarrées
2015-09-07 18:06:22.612 +0200	CHECK-SCANS.fmp12	0	Opérations d'importation validées
2015-09-07 18:06:22.613 +0200	CHECK-SCANS.fmp12	0	==================================================================
